backbone,condition,file,turn,val_t,aro_t,val_s,aro_s,text_emotion,speech_emotion
claude,multimodal,dissonance_100_full_multimodal.json,1,-0.2587132453918457,0.20653462409973145,-0.4057771563529968,-0.30945777893066406,Angry,Depressed
claude,multimodal,dissonance_100_full_multimodal.json,2,-0.11811494827270508,0.16866695880889893,-0.06635326147079468,-0.23504507541656494,Angry,Calm
claude,multimodal,dissonance_100_full_multimodal.json,3,-0.27097833156585693,0.22628676891326904,-0.49472224712371826,0.41573333740234375,Angry,Angry
claude,multimodal,dissonance_100_full_multimodal.json,4,-0.1541978120803833,0.2059413194656372,-0.13795864582061768,-0.3520715832710266,Angry,Calm
claude,multimodal,dissonance_100_full_multimodal.json,5,-0.3510845899581909,0.15728628635406494,-0.1005517840385437,-0.005428194999694824,Angry,Neutral
claude,multimodal,dissonance_100_full_multimodal.json,6,-0.25785982608795166,0.11730420589447021,-0.30970311164855957,-0.09535360336303711,Angry,Sad
claude,multimodal,dissonance_100_full_multimodal.json,7,-0.14705193042755127,0.23598122596740723,0.12540459632873535,0.11225020885467529,Angry,Excited
claude,multimodal,dissonance_100_full_multimodal.json,8,-0.11462771892547607,0.14243268966674805,-0.2780984044075012,-0.026842594146728516,Angry,Sad
claude,multimodal,dissonance_100_full_multimodal.json,9,-0.26363885402679443,0.19604182243347168,-0.37664109468460083,0.116310715675354,Angry,Sad
claude,multimodal,dissonance_100_full_multimodal.json,10,-0.2661418914794922,0.13152217864990234,-0.19650912284851074,0.10159730911254883,Angry,Angry
claude,multimodal,dissonance_10_full_multimodal.json,1,-0.3217334747314453,0.11659586429595947,-0.48912519216537476,-0.317534863948822,Sad,Depressed
claude,multimodal,dissonance_10_full_multimodal.json,2,-0.3189913034439087,0.236031174659729,-0.23312360048294067,0.06195640563964844,Angry,Sad
claude,multimodal,dissonance_10_full_multimodal.json,3,-0.16043877601623535,0.16469192504882812,-0.15501993894577026,-0.09833043813705444,Angry,Depressed
claude,multimodal,dissonance_10_full_multimodal.json,4,-0.06530952453613281,0.12748372554779053,-0.062103867530822754,-0.08251070976257324,Neutral,Neutral
claude,multimodal,dissonance_10_full_multimodal.json,5,-0.10254180431365967,0.06898796558380127,-0.1374790072441101,0.06930005550384521,Neutral,Angry
claude,multimodal,dissonance_10_full_multimodal.json,6,-0.18279027938842773,0.14555466175079346,-0.26215118169784546,-0.1819547414779663,Angry,Depressed
claude,multimodal,dissonance_10_full_multimodal.json,7,-0.21381354331970215,0.19117510318756104,-0.012889444828033447,0.22533977031707764,Angry,Tense
claude,multimodal,dissonance_10_full_multimodal.json,8,-0.16616809368133545,0.12558376789093018,-0.2883579134941101,-0.010501444339752197,Angry,Sad
claude,multimodal,dissonance_10_full_multimodal.json,9,-0.21219396591186523,0.15002095699310303,-0.2715778350830078,0.010062336921691895,Angry,Sad
claude,multimodal,dissonance_10_full_multimodal.json,10,-0.23368310928344727,0.1728147268295288,-0.1319558024406433,0.12769031524658203,Angry,Angry
claude,multimodal,dissonance_11_full_multimodal.json,1,-0.2915538549423218,0.08320009708404541,-0.31184661388397217,0.07487952709197998,Sad,Sad
claude,multimodal,dissonance_11_full_multimodal.json,2,-0.050830960273742676,0.06875717639923096,-0.33517545461654663,0.12178945541381836,Neutral,Sad
claude,multimodal,dissonance_11_full_multimodal.json,3,-0.3764939308166504,0.20042800903320312,-0.37720298767089844,0.04515862464904785,Angry,Sad
claude,multimodal,dissonance_11_full_multimodal.json,4,-0.3387206792831421,0.10220801830291748,-0.496679425239563,0.015969038009643555,Sad,Sad
claude,multimodal,dissonance_11_full_multimodal.json,5,-0.308432936668396,0.13369834423065186,-0.33146852254867554,-0.26254504919052124,Angry,Depressed
claude,multimodal,dissonance_11_full_multimodal.json,6,-0.24048984050750732,0.24379587173461914,-0.3157052993774414,-0.20059305429458618,Angry,Depressed
claude,multimodal,dissonance_11_full_multimodal.json,7,-0.16593503952026367,0.09961950778961182,-0.29955530166625977,-0.12695223093032837,Angry,Depressed
claude,multimodal,dissonance_11_full_multimodal.json,8,-0.07743275165557861,0.12462329864501953,0.01061868667602539,-0.01360100507736206,Neutral,Neutral
claude,multimodal,dissonance_11_full_multimodal.json,9,-0.09036600589752197,0.180350661277771,-0.42567723989486694,0.2174208164215088,Angry,Angry
claude,multimodal,dissonance_11_full_multimodal.json,10,-0.05844771862030029,0.19099342823028564,0.009127020835876465,0.08852386474609375,Tense,Neutral
claude,multimodal,dissonance_12_full_multimodal.json,1,-0.21867549419403076,0.11862802505493164,-0.12829875946044922,-0.04367625713348389,Angry,Neutral
claude,multimodal,dissonance_12_full_multimodal.json,2,-0.16955506801605225,0.16512775421142578,-0.3659614324569702,-0.30720317363739014,Angry,Depressed
claude,multimodal,dissonance_12_full_multimodal.json,3,-0.02939581871032715,0.13851690292358398,-0.23121637105941772,-0.32072383165359497,Neutral,Depressed
