utterance_id,aro_s,val_s,aro_t,val_t,delta_arousal,delta_valence,dissonant_arousal,dissonant_valence,dissonant_any
1,0.11443805694580078,-0.6374355554580691,0.3406992,-0.4512318500000001,0.2262611430541992,0.18620370545806897,False,False,False
2,0.4555697441101074,-0.5848075747489929,0.32265469999999996,-0.3346499999999999,0.13291504411010746,0.25015757474899303,False,False,False
3,0.042801499366760254,-0.4058449864387512,0.11764810000000003,-0.14112769999999997,0.07484660063323978,0.26471728643875125,False,False,False
4,0.14998769760131836,-0.5406486988067628,0.26327334999999996,-0.1888905999999999,0.1132856523986816,0.3517580988067629,False,False,False
5,0.031278133392333984,-0.19144636392593384,0.1877141,-0.012385150000000067,0.156435966607666,0.17906121392593377,False,False,False
6,0.47136354446411133,0.520031213760376,0.26226590000000005,0.13742049999999995,0.20909764446411128,0.38261071376037603,False,False,False
